employee_id,project_delivery_score,attendance_rate,quality_score,teamwork_score,learning_index,performance_score
E001,79.96714153011233,82.92314628974793,82.86229888278626,72.19703492354549,54.05572341205633,78.86
E002,73.61735698828815,87.89677338617321,84.48627621094587,74.07873271862121,64.00624977046228,83.0
E003,81.47688538100692,88.28642741736616,88.66440994540221,83.23105523586284,70.05243699718183,78.63
E004,90.23029856408026,85.9886136538919,88.43041641627923,82.27259185803425,70.46980593764742,86.55
E005,72.65846625276664,89.19357144166996,68.97864505634327,77.85368884225096,65.49934528520757,72.98
E006,72.6586304305082,92.02025428407269,72.49739968067902,78.82129168316148,76.22849932347499,76.5
E007,90.79212815507391,99.43092950605265,84.12028213766928,86.94365427051898,59.32379570617405,84.11
E008,82.67434729152909,90.8728890641592,84.11028760729766,73.8590002781492,68.57620514978707,78.57
E009,70.30525614065049,91.28775195361382,84.12038149044838,81.82968166819026,71.20295631711899,79.27
E010,80.42560043585965,89.62777042116916,100.0,76.58465143296274,75.14438834058748,82.32
E011,70.36582307187538,80.4061439235048,84.56712408554533,76.47623157740946,77.11614878088889,77.95
E012,70.34270246429743,89.86743062275391,89.08452512144478,85.69143796391033,58.75357908162131,78.41
E013,77.41962271566034,90.30115104970513,87.63201410794562,83.77791444291621,54.65885829264378,78.86
E014,55.86719755342202,100.0,85.21113001044638,83.69456745200446,82.7767682189851,76.05
E015,57.75082167486967,89.03819517609439,77.47784604287723,87.1383516500803,73.32314011979592,72.97
E016,69.37712470759027,91.50773671166806,86.07175376394613,78.14702689142932,62.51513463443446,79.69
E017,64.87168879665576,89.82644115147379,73.81739828369942,82.77367079906475,85.51151975522524,78.94
E018,78.14247332595274,84.15660981190234,78.10545114607993,75.82813270384581,71.15674634292859,75.01
E019,65.91975924478788,95.7141140725751,76.11709161736717,80.26916446741909,81.79297184063826,78.75
E020,60.87696298664709,93.75966516343387,80.65499311509058,77.0889986194262,70.67518481410109,77.56
E021,89.65648768921554,93.95515973521523,98.51726853338806,78.67897175494903,90.60747924881987,85.78
E022,72.74223699513465,85.4530627260263,65.06187845926601,82.1660991780584,87.55340842443204,79.01
E023,75.67528204687923,97.0139715546805,85.4900815229961,72.27245521736569,67.51035851520926,78.18
E024,60.75251813786544,82.9907446860386,67.09827303048279,92.64671092979822,79.71570950954356,75.81
E025,69.55617275474818,92.93428546900135,76.22454507368454,70.95787832950208,76.45375949585147,74.52
E026,76.10922589709867,100.0,88.71160477573893,69.50067971048587,83.68631557532349,78.14
E027,63.490064225776976,85.04731837434656,80.5142401527637,86.10677611450048,60.35076539419896,69.25
E028,78.75698018345672,87.16851135198614,71.37804177656555,83.54163885774055,76.8605145999844,79.54
E029,68.99361310081196,90.4982568254382,74.27757032592025,82.36883871936509,80.58424486849587,78.88
E030,72.08306250206724,87.48262172941901,85.4367819914774,82.39841856484996,52.41260513576886,73.72
E031,68.98293387770603,82.24668284466934,74.1570669462629,77.9142725900716,58.16741487334225,74.3
E032,93.52278184508938,90.34281487403014,81.7316687166558,71.71921939959918,49.607678222398995,75.69
E033,74.86502775262066,84.68848143136948,80.3645747192305,78.53063190735608,67.30593165555442,77.15
E034,64.422890710441,92.36796215317591,74.78719721915347,73.25986801941522,77.17542255795962,71.69
E035,83.22544912103189,85.40287882883098,97.1515527146026,84.82583813392426,85.02357052096028,85.0
E036,62.791563500289776,97.7496720250877,85.07135217854409,76.97059832948503,70.74094780419775,77.7
E037,77.08863595004756,86.08373353831881,63.798859306739146,72.22151962245242,86.28615545571292,74.3
